case_id,split
train_7773_a_1,train
train_18323_a_1,train
train_13229_a_1,train
train_11575_a_1,train
train_4868_a_1,train
train_3963_f_1,train
train_9140_a_1,train
train_4442_a_1,train
train_1306_a_1,train
train_3311_b_1,train
train_14970_a_1,train
train_331_a_1,train
train_17212_a_1,train
train_10872_a_1,train
train_17046_a_1,train
train_3272_a_1,train
train_3715_b_1,train
train_8443_a_1,valid
train_2016_a_1,train
train_14591_b_1,valid
train_6512_a_1,train
train_14319_a_1,train
train_9742_a_1,train
train_8819_a_1,train
train_5008_a_1,train
train_9609_a_1,train
train_15716_a_1,train
train_6039_a_1,train
train_16876_a_1,train
train_1958_b_1,valid
train_56_a_1,train
train_8798_a_1,valid
train_9855_e_1,train
train_2536_a_1,train
train_1304_b_1,train
train_3466_a_1,train
train_19317_a_1,valid
train_11090_a_1,train
train_8280_a_1,train
train_19142_b_1,train
train_11109_a_1,train
train_8446_a_1,train
train_19985_b_1,train
train_1753_b_1,train
train_17133_a_1,train
train_9525_a_1,valid
train_12384_a_1,train
train_4313_a_1,valid
train_9749_b_1,valid
train_19815_a_1,train
train_17980_a_1,train
train_1422_b_1,train
train_798_a_1,train
train_8233_a_1,train
train_4965_a_1,train
train_7817_a_1,train
train_14418_a_1,train
train_271_a_1,valid
train_18502_c_1,train
train_7771_a_1,train
train_15336_a_1,train
train_18385_a_1,train
train_8905_a_1,train
train_9218_a_1,train
train_16476_b_1,train
train_17540_a_1,train
train_16607_a_1,train
train_2957_a_1,train
train_5428_b_1,train
train_15750_b_1,train
train_11861_b_1,train
train_3793_a_1,train
train_2501_a_1,train
train_19520_a_1,train
train_5591_a_1,train
train_6530_a_1,train
train_19679_a_1,train
train_19601_a_1,train
train_13799_a_1,train
train_19043_a_1,valid
train_16994_a_1,train
train_11265_a_1,train
train_2341_a_1,valid
train_1678_a_1,train
train_2541_a_1,train
train_4917_a_1,train
train_16485_c_1,train
train_12415_a_1,train
train_15221_a_1,train
train_12975_a_1,train
train_4290_a_1,train
train_4549_a_1,train
train_19443_b_1,train
train_2126_b_1,train
train_15264_a_1,train
train_8011_a_1,train
train_9736_a_1,train
train_9997_a_1,train
train_12956_a_1,train
train_13635_a_1,valid
train_14207_a_1,train
train_3234_a_1,train
train_4269_a_1,train
train_1333_a_1,train
train_13605_a_1,train
train_1889_a_1,train
train_19892_a_1,train
train_3904_b_1,train
train_16395_a_1,train
train_16531_a_1,valid
train_12919_b_1,valid
train_19969_a_1,train
train_1126_a_1,train
train_3018_a_1,train
train_101_b_1,train
train_6331_a_1,train
train_19299_a_1,train
train_4207_a_1,train
train_6416_a_1,train
train_10271_a_1,train
train_7384_a_1,train
train_1734_a_1,valid
train_18139_a_1,train
train_886_c_1,train
train_18986_a_1,train
train_15045_a_1,train
train_1399_a_1,valid
train_5634_d_1,valid
train_16415_a_1,train
train_8326_a_1,train
train_6583_a_1,train
train_16138_a_1,train
train_3057_a_1,train
train_10246_a_1,train
train_9953_a_1,train
train_9209_a_1,train
train_5089_c_1,train
train_12005_c_1,train
train_7173_a_1,train
train_7961_a_1,train
train_4361_a_1,train
train_12986_a_1,train
train_12103_a_1,train
train_4863_a_1,train
train_16475_a_1,valid
train_3491_a_1,train
train_27_a_1,train
train_13905_a_1,train
train_3735_b_1,valid
train_98_a_1,train
train_960_b_1,train
train_9635_a_1,train
train_9972_a_1,train
train_19113_a_1,train
train_4907_a_1,train
train_8997_a_1,train
train_16094_a_1,train
train_19569_a_1,train
train_3615_a_1,train
train_8624_a_1,train
train_16974_a_1,train
train_2538_a_1,train
train_19258_a_1,train
train_16616_a_1,train
train_6775_a_1,train
train_15300_a_1,train
train_7214_e_1,train
train_4671_a_1,train
train_14489_a_1,valid
train_6844_a_1,train
train_17582_a_1,train
train_6414_a_1,train
train_16383_a_1,train
train_17985_a_1,train
train_10413_a_1,train
train_7751_a_1,train
train_10958_c_1,train
train_14941_a_1,valid
train_12076_a_1,train
train_18107_a_1,valid
train_7766_a_1,train
train_17792_b_1,train
train_4469_a_1,train
train_18952_a_1,train
train_15031_a_1,train
train_13539_a_1,valid
train_18598_a_1,train
train_2120_a_1,train
train_19405_a_1,train
train_12935_a_1,train
train_6780_a_1,train
train_17889_a_1,valid
train_16541_b_1,train
train_11761_a_1,train
train_447_a_1,train
train_6966_a_1,train
train_18261_a_1,train
train_6017_a_1,train
train_17920_c_1,train
train_11793_a_1,train
train_18469_a_1,train
train_17603_a_1,train
train_3905_a_1,train
train_648_a_1,train
train_17626_a_1,train
train_18428_a_1,train
train_6604_c_1,train
train_12636_d_1,train
train_17325_a_1,train
train_11018_a_1,train
train_18006_a_1,train
train_1789_a_1,train
train_4124_a_1,train
train_12795_a_1,valid
train_1149_d_1,train
train_10596_a_1,train
train_2540_a_1,train
train_16605_a_1,train
train_5105_b_1,train
train_15879_a_1,train
train_18935_a_1,train
train_925_b_1,train
train_378_a_1,train
train_7033_c_1,train
train_16116_a_1,train
train_16742_a_1,train
train_19937_a_1,train
train_11878_a_1,train
train_15582_c_1,train
train_12041_a_1,train
train_10936_a_1,train
train_6099_a_1,train
train_14214_b_1,train
train_8000_a_1,train
train_15340_a_1,valid
train_19030_b_1,valid
train_11791_a_1,train
train_112_a_1,train
train_16302_a_1,train
train_579_a_1,train
train_799_a_1,train
train_17276_a_1,train
train_4107_a_1,valid
train_9968_b_1,train
train_8062_a_1,train
train_16369_a_1,train
train_10049_a_1,train
train_16966_a_1,train
train_12981_a_1,train
train_13830_a_1,train
train_3424_a_1,train
train_18924_b_1,train
train_5290_a_1,train
train_8323_a_1,train
train_16924_g_1,train
train_14452_a_1,train
train_16485_b_1,train
train_14861_a_1,train
train_2041_g_1,train
train_7142_c_1,train
train_5079_a_1,train
train_14881_b_1,train
train_11185_a_1,train
train_19092_a_1,train
train_1014_a_1,train
train_1359_a_1,valid
train_4246_f_1,train
train_2600_a_1,train
train_3705_a_1,train
train_11695_a_1,train
train_14273_a_1,train
train_19188_a_1,train
train_941_a_1,train
train_4773_a_1,train
train_12434_a_1,train
train_17082_a_1,valid
train_8241_c_1,train
train_4575_a_1,train
train_1520_a_1,train
train_14582_a_1,train
train_9700_a_1,train
train_10377_a_1,train
train_13323_a_1,train
train_2766_a_1,train
train_10198_a_1,train
train_4529_b_1,train
train_6077_a_1,train
train_10130_a_1,train
train_928_a_1,train
train_5411_a_1,train
train_11031_a_1,train
train_19905_a_1,train
train_16751_a_1,train
train_10443_a_1,train
train_6924_a_1,train
train_9197_a_1,train
train_15653_a_1,train
train_10318_a_1,train
train_10976_a_1,train
train_837_a_1,train
train_15617_a_1,train
train_16722_a_1,train
train_18666_a_1,train
train_8655_a_1,train
train_9439_a_1,train
train_11126_a_1,valid
train_2621_a_1,train
train_4596_a_1,train
train_3792_a_1,train
train_6334_a_1,train
train_19934_a_1,train
train_12290_a_1,train
train_13621_a_1,train
train_2731_a_1,train
train_104_a_1,train
train_16107_a_1,train
train_1698_a_1,valid
train_18062_b_1,train
train_2616_a_1,valid
train_8962_a_1,train
train_15858_b_1,train
train_9265_b_1,valid
train_3720_a_1,train
train_6225_a_1,train
train_13562_b_1,train
train_10744_i_1,valid
train_5442_a_1,train
train_14180_a_1,train
train_3610_a_1,train
train_14249_a_1,train
train_12248_a_1,train
train_6379_a_1,train
train_15875_a_1,train
train_8567_b_1,train
train_14316_a_1,train
train_15480_a_1,train
train_2117_a_1,train
train_242_a_1,train
train_18292_a_1,train
train_19427_c_1,train
train_7693_a_1,train
train_15096_a_1,train
train_15670_a_1,train
train_13015_b_1,train
train_2910_a_1,train
train_6102_a_1,train
train_7340_a_1,train
train_17765_a_1,train
train_1192_a_1,train
train_17538_a_1,valid
train_15616_a_1,train
train_12906_a_1,train
train_17166_a_1,train
train_17730_b_1,train
train_2666_a_1,train
train_14950_a_1,train
train_16054_a_1,train
train_4620_a_1,train
train_14476_a_1,train
train_6377_c_1,train
train_13273_a_1,train
train_1910_a_1,valid
train_2994_a_1,valid
train_11127_a_1,train
train_10834_a_1,train
train_13980_a_1,train
train_16250_a_1,train
train_1987_a_1,train
train_18973_a_1,valid
train_17521_a_1,train
train_14993_d_1,train
train_16893_a_1,train
train_1862_a_1,train
train_18766_a_1,train
train_3413_a_1,train
train_644_d_1,train
train_3568_a_1,train
train_2952_a_1,train
train_14062_a_1,train
train_6373_a_1,train
train_18065_a_1,train
train_2759_b_1,train
train_307_a_1,train
train_8970_a_1,train
train_4775_a_1,train
train_8008_a_1,train
train_2118_a_1,train
train_11226_a_1,train
train_18819_a_1,train
train_7649_a_1,train
train_4894_a_1,train
train_13592_a_1,train
train_10084_a_1,train
train_18909_a_1,train
train_4268_a_1,train
train_6522_b_1,train
train_7581_b_1,train
train_13593_b_1,train
train_8112_a_1,train
train_7456_a_1,train
train_9537_a_1,train
train_17597_a_1,valid
train_5105_a_1,train
train_4961_c_1,train
train_16646_a_1,train
train_17674_a_1,train
train_18959_d_1,train
train_15828_a_1,train
train_15051_a_1,train
train_8274_a_1,valid
train_7480_a_1,train
train_12830_a_1,train
train_8244_b_1,train
train_17478_a_1,train
train_15742_a_1,train
train_9583_a_1,train
train_7309_a_1,train
train_8101_a_1,valid
train_18542_a_1,train
train_8067_a_1,train
train_9158_a_1,train
train_13707_a_1,train
train_10582_a_1,valid
train_9503_a_1,train
train_7865_a_1,train
train_1292_b_1,train
train_7177_a_1,train
train_4271_a_1,valid
train_14777_b_1,train
train_16643_a_1,valid
train_12677_b_1,train
train_8531_c_1,train
train_14892_a_1,train
train_2967_a_1,train
train_1557_a_1,train
train_8474_a_1,train
train_4528_a_1,train
train_16667_a_1,train
train_1713_a_1,train
train_12958_a_1,valid
train_16490_a_1,train
train_8239_b_1,train
train_15963_a_1,train
train_17036_a_1,train
train_12883_a_1,train
train_17866_a_1,train
train_7850_a_1,train
train_18078_e_1,valid
train_2707_a_1,valid
train_253_a_1,train
train_19063_a_1,train
train_9832_a_1,train
train_7256_a_1,train
train_1715_c_1,train
train_13092_a_1,train
train_1501_a_1,train
train_8027_a_1,train
train_8316_b_1,train
train_19218_a_1,train
train_13410_a_1,train
train_10745_a_1,valid
train_15483_a_1,train
train_16114_a_1,train
train_3686_a_1,train
train_7514_a_1,train
train_6559_a_1,train
train_9228_a_1,train
train_15107_a_1,train
train_3112_d_1,train
train_8439_a_1,train
train_10695_a_1,train
train_14846_a_1,train
train_19833_a_1,train
train_16588_a_1,train
train_13684_a_1,train
train_14107_a_1,train
train_18255_a_1,train
train_8725_b_1,train
train_16554_b_1,train
train_12431_a_1,train
train_6062_a_1,train
train_6814_a_1,train
train_17468_a_1,train
train_17754_a_1,train
train_6502_b_1,train
train_8941_a_1,train
train_15310_a_1,train
train_6934_b_1,train
train_12761_b_1,valid
train_5206_f_1,train
train_3516_a_1,train
train_4119_a_1,train
train_7222_a_1,train
train_19563_a_1,train
train_18127_a_1,train
train_16741_a_1,train
train_3478_a_1,train
train_15946_a_1,train
train_18621_c_1,train
train_5230_a_1,train
